text,book,chapter,chapter_title,paragraph,characters
"It was the Law that, every tenth year, the people of all the tribes in the Dumii Empire should come and be Counted.",09_The Carpet People,0,CHAPTER 1,0,['Law']
"They did not go all the way to the great capital city of Ware, but to the little walled town of Tregon Marus.",09_The Carpet People,0,CHAPTER 1,1,[]
"The Counting was always a great occasion. Tregon Marus would double in size and importance overnight as tribal tents were pitched outside its walls. There was a horse market, and a five-day fair, old friends to be met, and a flood of news to be exchanged.",09_The Carpet People,0,CHAPTER 1,2,['Tregon Marus']
"And there was the Counting itself. New names were added to the crackling scrolls which, the people like to believe, were taken to Ware, even to the Great Palace of the Emperor himself. The Dumii clerks laboriously wrote down how many pigs and goats and tromps everybody had, and one by one the people shuffled on to the next table and paid their taxes in furs and skins. That was the unpopular part. So the queue wound round Tregon Marus, in at the East Gate, through the postern and stables, across the market square, and through the countinghouse. Even the youngest babies were carried past the clerks, for the quill pens to wobble and scratch their names on the parchment. Many a tribesman got a funny name because a clerk didn't know how to spell, and there's more of that sort of thing in History than you might expect.",09_The Carpet People,0,CHAPTER 1,3,['Tregon Marus']
"On the fifth day the Governor of the town called all the tribal chieftains to an audience in the market square, to hear their grievances. He didn't always do anything about them, but at least they got heard, and he nodded a lot, and everyone felt better about it at least until they got home. This is politics.",09_The Carpet People,0,CHAPTER 1,4,[]
"And on the sixth day the people went back to their homes, along the roads the Dumii had built. They went east. Behind them the road went west, until it came to the city of Ware. There it was just one of the many roads that entered the city. Beyond Ware it became the West Road, becoming narrower and more winding until it reached the furthermost western outpost of Rug.",09_The Carpet People,0,CHAPTER 1,6,['Ware']
Such was the Dumii Empire. It covered almost all of the Carpet from the Woodwall to the wasteland near Varnisholme in the north.,09_The Carpet People,0,CHAPTER 1,7,[]
"In the west it bordered Wildland and the uttermost fringes of the Carpet, and southwards the roads ran as far as the Hearthlands. The painted people of the Wainscot, the warlike Hibbolgs, even the fire-worshippers of Rug, all paid their tribute to the Emperor.",09_The Carpet People,0,CHAPTER 1,8,[]
"Some of them didn't like the Dumii much, usually because the Empire discouraged the small wars and cattle raids which, in the outlying regions, were by way of being a recreational activity. The Empire liked peace. It meant that people had enough time to earn money to pay their taxes. On the whole, peace seemed to work.",09_The Carpet People,0,CHAPTER 1,9,[]
"So the Munrung tribe went east, and passed out of the chronicles of the Empire for another ten years. Sometimes they quarrelled among themselves, but on the whole they lived peacefully and avoided having much to do with history, which tends to get people killed.",09_The Carpet People,0,CHAPTER 1,10,[]
"Old Grimm Orkson, chieftain of the Munrungs, had two sons. The eldest, Glurk, succeeded his father as chieftain when old Orkson died.",09_The Carpet People,0,CHAPTER 1,12,"['Munrungs', 'Glurk', 'Orkson']"
"To the Munrung way of thinking, which was a slow and deliberate way, there couldn't have been a better choice. He looked just like a second edition of his father, from his broad shoulders to his great thick neck, the battering centre of his strength. Glurk could throw a spear further than anyone. He could wrestle with a snarg, and wore a necklace of their long yellow teeth to prove it. He could lift a horse with one hand, run all day without tiring, and creep up so close to a grazing animal that sometimes they'd die of shock before he had time to raise his spear. Admittedly he moved his lips when he was thinking, and the thoughts could be seen bumping against one another like dumplings in a stew, but he was not stupid. Not what you'd call stupid. His brain got there in the end. It just went the long way around.",09_The Carpet People,0,CHAPTER 1,13,['Glurk']
"""He's a man of few words, and he doesn't know what either of them mean,"" people said, but not when he was within hearing.",09_The Carpet People,0,CHAPTER 1,14,[]
"One day towards evening he was tramping homeward through the dusty glades, carrying a bone-tipped hunting spear under one arm. The other arm steadied the long pole that rested on his shoulder.",09_The Carpet People,0,CHAPTER 1,15,[]
"In the middle of the pole, its legs tied together, dangled a snarg. At the other end of the pole was Snibril, Glurk's younger brother.",09_The Carpet People,0,CHAPTER 1,16,[]
"Old Orkson had married early and lived long, so a wide gap filled by a string of daughters, that the chieftain had carefully married off to upright and respected and above all well-off Munrungs, separated the brothers.",09_The Carpet People,0,CHAPTER 1,17,['Munrungs']
"Snibril was slight, especially compared with his brother. Grimm had sent him off to the strict Dumii school in Tregon Marus to become a clerk. ""He can't hardly hold a spear,"" he said, ""maybe a pen'd be better. Get some learning in the family.""",09_The Carpet People,0,CHAPTER 1,18,['Grimm']
"Most tribes had one, although Pismire was different. For one thing, he washed all the bits that showed at least once every month. This was unusual. Other shamen tended to encourage dirt, taking the view that the grubbier, the more magical.",09_The Carpet People,0,CHAPTER 1,21,['Pismire']
"Other shamen ate the yellow-spotted mushrooms that were found deep in the hair thickets and said things like: ""Hiiiiya/iya/iheya! Heyaheyayahyah! Hngh! Hngh!"" which certainly sounded magical.",09_The Carpet People,0,CHAPTER 1,23,[]
"Pismire said things like, ""Correct observation followed by meticulous deduction and the precise visualization of goals is vital to the success of any enterprise. Have you noticed the way the wild tromps always move around two days ahead of the sorath herds? Incidentally, don't eat the yellow-spotted mushrooms.""",09_The Carpet People,0,CHAPTER 1,24,['Pismire']
"Which didn't sound magical at all, but worked a lot better and conjured up good hunting. Privately some Munrungs thought good hunting was more due to their own skill. Pismire encouraged this view. ""Positive thinking,"" he would say, ""is also very important.""",09_The Carpet People,0,CHAPTER 1,25,['Pismire']
"He was also the official medicine man. He was a lot better, they agreed (but reluctantly, because the Munrungs respected tradition) than the last one they had had, whose idea of medicine was to throw some bones in the air and cry ""Hyahyahyah! Hgn! Hgn!"" Pismire just mixed various kinds of rare dust in a bowl, made it into pills, and said things like ""Take one of these when you go to bed at night and another one if you wake up in the morning.""",09_The Carpet People,0,CHAPTER 1,26,"['Munrungs', 'Pismire']"
"Grimm was chopping sticks outside his hut. ""It'll never work,"" said Pismire, appearing behind him in that silent way of his. ""You can't send Snibril off to Tregon again. He's a Munrung. No wonder he keeps running away. He'll never be a clerk. It's not in the blood, man. Let him stay. I'll see he learns to read.""",09_The Carpet People,0,CHAPTER 1,28,"['Pismire', 'Tregon']"
"""If you can learn him, you're welcome,"" said Grimm, shaking his head. ""He's a mystery to me. Spends all his time moping around. His mother used to be like that. Of course, she got a bit of sense once she got married.""",09_The Carpet People,0,CHAPTER 1,29,[]
"Grimm had never learned to read, but he had always been impressed by the clerks at Tregon Marus. They could make marks on bits of parchment that could remember things. That was power, of a sort. He was quite keen to see that an Orkson got some of it.",09_The Carpet People,0,CHAPTER 1,30,[]
"So Snibril went to Pismire's village school with the other children, and learnt numbers, letters, and the Dumii laws. He enjoyed it, sucking in knowledge as though his life depended on it. It often did, Pismire said.",09_The Carpet People,0,CHAPTER 1,31,"['Pismire', 'Pismire']"
"Glurk chased. Snibril watched. You don't have to chase around after creatures, Pismire had said. You watch them for long enough, and then you'll find the place to wait and they'll come to you. There's nearly always a better way of doing something.",09_The Carpet People,0,CHAPTER 1,33,"['Glurk', 'Pismire']"
"When old Grimm died he was laid in a barrow dug out of the dust of the Carpet, with his hunting spear by his side. Munrungs had no idea where you went when you died, but there was no reason to go hungry once you got there.",09_The Carpet People,0,CHAPTER 1,34,"['Grimm', 'Munrungs']"
"Glurk became chieftain, and would have to take the tribe to the next Counting. But the messenger to summon them to Tregon Marus was long overdue, and that worried Glurk. Not that he was in a hurry to pay taxes, and actually going to see why the messenger was late seemed a bit too, you know, keen, but usually the Dumii were very reliable, especially over tax-gathering.",09_The Carpet People,0,CHAPTER 1,35,"['Glurk', 'Tregon Marus', 'Glurk']"
"But as he and his brother wandered homeward that evening he kept his thoughts to himself. Snibril grunted, and heaved the pole on to his other shoulder. He was shorter than his brother, and he was going to get shorter still, he thought, if he couldn't shed the load for a minute or two.",09_The Carpet People,0,CHAPTER 1,36,[]
"""I feel as though my feet have worn right off and my legs have turned up at the ends,"" he said. ""Can't we stop for a rest? Five minutes won't hurt. And ... my head aches ... """,09_The Carpet People,0,CHAPTER 1,37,[]
"They had reached the Dumii road, and not far north of it lay the Woodwall, home and supper. They sat down.",09_The Carpet People,0,CHAPTER 1,39,['Woodwall']
"Glurk, who never wasted his time, started to sharpen the point of his spear on a piece of grit, but both brothers gazed down the road, shining in the dim evening air. The road stretched west, a glowing line in the darkness. The hairs around it were full of growing shadows. It had fascinated Snibril, ever since his father had told him that all roads led to Ware. So it was only the road that lay between the doorway of his hut and the threshold of the Emperor's palace, he thought. And if you counted all the streets and passages that led off the road ... Once you set foot on it you might end up anywhere and if you just sat by the road and waited, who might pass you by? Everywhere was connected to everywhere else, Pismire had said.",09_The Carpet People,0,CHAPTER 1,40,"['Glurk', 'Ware', 'Pismire']"
"The Carpet had felt wrong too, today. The hunting had been hard. Most of the animals had vanished, and the dust between the hairs did not stir in the breathless air.",09_The Carpet People,0,CHAPTER 1,42,[]
"There was a sound so loud as to be felt by the whole body, hitting the Carpet with horrible suddenness. The brothers sprawled in the dust as the hairs around them groaned and screamed in the gale.",09_The Carpet People,0,CHAPTER 1,47,[]
"Glurk gripped the rough bark of a hair and hauled himself upright, straining against the storm that whipped round him. Far overhead the tip of the hair creaked and rattled, and all round the hairs waved like a grey sea. Smashing through them came grit, man-sized boulders half rolling and half flying before the wind.",09_The Carpet People,0,CHAPTER 1,48,['Glurk']
"Holding on tightly with one hand, Glurk reached out with the other and hauled his brother to safety. Then they crouched, too shaken to speak, while the storm banged about them.",09_The Carpet People,0,CHAPTER 1,49,['Glurk']
"When it appeared, it was riderless. Its ears lay back flat on its head and its eyes flashed green with terror. The white coat glistened with sweat, reins cracked across the saddle with the fury of the gallop.",09_The Carpet People,0,CHAPTER 1,55,[]
"Snibril leapt in its path. Then, as the creature hurtled by him, he snatched at the reins, raced for a second by the pounding hooves, and flung himself up into the saddle. Why he dared that he never knew. Careful observation and precise determination of goals, probably. He just couldn't imagine not doing it.",09_The Carpet People,0,CHAPTER 1,56,[]
"The village stockade had broken in several places, and grit boulders had smashed some huts. Glurk looked towards the Orkson hut and Snibril heard the moan that escaped from him. The chieftain climbed down from the horse's back and walked slowly towards his home.",09_The Carpet People,0,CHAPTER 1,58,['Glurk']
"The rest of the tribe stopped talking and drew back, awed, to let him pass. A hair had fallen, a big one. It had crushed the stockade. And the tip of it lay across what was left of the Orkson hut, the arch of the doorway still standing bravely amid a litter of beams and thatch. Bertha Orkson came running forward with her children round her, and flung herself into his arms.",09_The Carpet People,0,CHAPTER 1,60,['Bertha Orkson']
"He patted her absently but went on staring at the ruined hut. Then he climbed along up the mound of wreckage, and prodded about.",09_The Carpet People,0,CHAPTER 1,62,[]
"So silent was the crowd that every sound he made echoed. There was a clink as he picked up the pot that had miraculously escaped destruction, and looked at it as though he had never seen its design before, turning it this way and that in the firelight. He raised it above his head and smashed it on the ground.",09_The Carpet People,0,CHAPTER 1,63,[]
"Then he raised his fist above him and swore. He cursed by the hairs, by the dark caverns of Underlay, by the demons of the Floor, by the Weft and by the Warp. He bellowed the Unutterable Words and swore the oath of Retwatshud the Frugal, that cracked bone, or so it was said, although Pismire claimed that this was superstition.",09_The Carpet People,0,CHAPTER 1,64,"['Retwatshud', 'Pismire']"
Curses circled up in the evening hairs and the night creatures of the Carpet listened. Oath was laid upon oath in a towering pillar vibrating terror.,09_The Carpet People,0,CHAPTER 1,65,[]
"When he had finished the air trembled. He flopped down on the wreckage and sat with his head in his hands, and no-one dared approach. There were sidelong glances, and one or two people shook themselves and hurried away.",09_The Carpet People,0,CHAPTER 1,66,[]
"""He shouldn't have said the Unutterable Words,"" said Pismire, more or less to himself, ""It's all superstition, of course, but that's not to say it isn't real. Oh, hello. I see you survived.""",09_The Carpet People,0,CHAPTER 1,68,['Pismire']
"""Doesn't mean it was untrue. I'm sure it was Fray. The changes in air pressure to begin with ... the animals sensed it ... just like it said in the ... "" He stopped. ""Just like I read somewhere,"" he said awkwardly.",09_The Carpet People,0,CHAPTER 1,72,['Fray']
"Pismire walked to the horse and examined it carefully. ""It's Dumii, of course,"" he said. ""Someone fetch my herb box. Something's attacked him, see, here. Not deep but it should be dressed. A magnificent beast. Magnificent. No rider?""",09_The Carpet People,0,CHAPTER 1,76,"['Pismire', 'Dumii']"
"Pismire stroked the sleek coat. ""If you sold all the village and its people into slavery you might just be able to buy a horse like this. Whoever he belonged to, he ran away some time ago. He's been living wild for days.""",09_The Carpet People,0,CHAPTER 1,78,['Pismire']
"He let one leg go and paused to stare up at the hairs. ""Something scared him. Not Fray. Something days ago. It wasn't bandits, because they would have taken the horse too. And they don't leave claw marks. A snarg could have made that if it was three times its normal size. Oh, dear. And there are such,"" he said.",09_The Carpet People,0,CHAPTER 1,83,[]
"To Snibril it seemed as though the night had grown a mouth and a voice. It came from the hairs just beyond the broken stockade, a mocking screech that split the darkness. The horse reared.",09_The Carpet People,0,CHAPTER 1,85,[]
"On the further side there was a mounted shape in the darkness, and two pairs of eyes. One was a sullen red, one pair shimmered green. They stared unblinking over the flames at the villagers.",09_The Carpet People,0,CHAPTER 1,88,[]
"""Nothing but a snarg,"" he growled, and threw. The spear struck something, but the green eyes only grew brighter. There was a deep, menacing rumble from an unseen throat.",09_The Carpet People,0,CHAPTER 1,90,[]
"They blinked and were gone. With them went the spell. Cries went up and, ashamed of their fear, the hunters surged forward. ""Stop!"" shouted Pismire. ""Idiots! You'll chase out into the dark after that, with your bone spears? That was a black snarg. Not like the brown ones you get around here! You know the stories? They're from the furthest Corners! From the Unswept Regions!""",09_The Carpet People,0,CHAPTER 1,93,['Pismire']
"Prom the north, from the white cliff of the Woodwall itself, came again the cry of a snarg. This time it did not die away, but stopped abruptly.",09_The Carpet People,0,CHAPTER 1,94,[]
"Pismire stared north for a second, then turned to Glurk and Snibril. ""You have been found,"" he said. ""That was what brought this horse here, fear of the snargs. And fear of the snargs is nothing to be ashamed of. Fear of snargs like that is common sense. Now they have discovered the village you can't stay. They'll come every night until one night you won't fight back hard enough. Leave tomorrow. Even that might be too late.""",09_The Carpet People,0,CHAPTER 1,95,['Pismire']
"""Then trust me,"" said Pismire. ""And hope that you never do have to understand. Have you ever known me be wrong?""",09_The Carpet People,0,CHAPTER 1,99,['Pismire']
"""No. I suppose not."" Glurk looked worried. ""But we've never been frightened of snargs. We can deal with snargs. What's special about these?""",09_The Carpet People,0,CHAPTER 1,102,['Glurk']
"His possessions fitted easily into one fur pack, but he rummaged through them in case anything had been left behind. There was a bone knife with the carved wooden handle, and a spare pair of boots. Then there was a coil of bowstrings, and another bag of arrowheads, a piece of lucky dust and, right at the bottom, Snibril's fingers closed round a lumpy bag. He lifted it out carefully, taking care not to damage its contents, and opened it. Two, five, eight, nine. All there, their varnish catching the light as he moved his fingers.",09_The Carpet People,1,CHAPTER 2,2,[]
"They had been shaped from the red wood of the Chairleg mines. On one side each coin carried a carving of the Emperor's head. They were Tarnerii, the coins of the Dumii, and they had cost many skins at Tregon Marus. In fact they were skins, if you looked at it like that, or pots or knives or spears. At least, so Pismire said.",09_The Carpet People,1,CHAPTER 2,5,['Pismire']
"Snibril never quite understood this, but it seemed that so great was the Dumii's love for their Emperor they would give and take the little wooden pictures of him in exchange for skins and fur. At least, so Pismire said. Snibril wasn't sure that Pismire understood finance any more than he did.",09_The Carpet People,1,CHAPTER 2,6,"['Dumii', 'Pismire', 'Pismire']"
The two of them made their way to the carts. It was less than a day since Fray had come. But what a day ...,09_The Carpet People,1,CHAPTER 2,7,['Fray']
"Arguments, mostly. The richer Munrungs hadn't wanted to leave, especially since no-one had a clear idea of where they would go. And Pismire had gone off somewhere, on business of his own.",09_The Carpet People,1,CHAPTER 2,8,"['Munrungs', 'Pismire']"
"Then, in the middle of the morning, they had heard snarg cries in the south. Someone saw shadows gliding among the hairs. Someone else said he saw eyes peering over the stockade.",09_The Carpet People,1,CHAPTER 2,9,[]
"After that, the arguments stopped. The Munrungs were used to travelling, as people suddenly pointed out. They moved around every year or so, to better hunting grounds. They'd been planning this move for months, probably. It wasn't as if they were running away, everyone said. No-one could say they were running away. They were walking away. Quite slowly.",09_The Carpet People,1,CHAPTER 2,10,['Munrungs']
"Before mid-afternoon the area inside the stockade was filled with carts, cows and people carrying furniture. Now the bustle was over, and they all waited for Glurk. His cart was the finest, a family heirloom, with a curved roof covered with furs. It needed four ponies to pull it; huts were things you built to last a year or so, but carts were what you handed down to your grandchildren.",09_The Carpet People,1,CHAPTER 2,11,['Glurk']
"Behind it a string of pack ponies, laden with the Orkson wealth in furs, waited patiently. Then came the lesser carts, none as rich as the Orkson cart, though some almost equalled it. After them came the poorer handcarts, and the families that could only afford one pony and one-third shares in a cow. And last came the people on foot. It seemed to Snibril that those who carried all their personal goods in one hand looked a bit more cheerful than those who were leaving half theirs behind.",09_The Carpet People,1,CHAPTER 2,12,[]
"""Isn't he here?"" said Glurk. ""Well, he knows we're going. He'll be along. I don't think he'd expect us to wait.""",09_The Carpet People,1,CHAPTER 2,14,['Glurk']
"""Well, tell him we'll be moving along towards Burnt End, along the old tracks,"" he said. ""Easy place to defend tonight, if it comes to it.""",09_The Carpet People,1,CHAPTER 2,17,[]
"Glurk waited until the last straggler had left the stockade, and then dragged the gate across. Anyone could get in through the broken walls, but Glurk still felt that the gates should be shut. That was more ... proper. It suggested that they might come back one day.",09_The Carpet People,1,CHAPTER 2,18,"['Glurk', 'Glurk']"
"Snibril was trotting up the road ahead of the procession. He rode the white horse, a little inexpertly, but with determination. The horse had been named Roland, after an uncle. No-one questioned his right to name it, or to own it. The Munrungs, on the whole, agreed with Dumii laws, but finders-keepers was one of the oldest laws of all.",09_The Carpet People,1,CHAPTER 2,19,"['Roland', 'Munrungs']"
"A little way on he turned off the road, and soon the dazzling white wooden cliff of the Woodwall rose above the hairs. Roland's hooves made no sound on the thick dust that lay about, and the Carpet closed in. Snibril felt the great immensity of it all around him stretching far beyond the furthermost limits of the Empire. And if the Dumii road might lead to distant places, where might this old track lead?",09_The Carpet People,1,CHAPTER 2,20,['Roland']
"He sat and watched it sometimes, on quiet nights. The Munrungs moved around a lot, but always in the same area. The road was always around, somewhere. Pismire talked about places like the Rug, the Hearth and the Edge. Faraway places with strange-sounding names. Pismire had been everywhere, seen things Snibril would never see. He told good stories.",09_The Carpet People,1,CHAPTER 2,21,"['Munrungs', 'Pismire', 'Pismire']"
"Several times Snibril thought he heard other hooves nearby. Or were they black paws? Roland must have heard them too, for he trotted along smartly, always on the edge of a canter.",09_The Carpet People,1,CHAPTER 2,22,['Roland']
"Dust had drifted up between the hairs here, forming deep mounds where herbs and ferns grew thickly and made the air heavy with their scent. The path seemed to grow drowsy, and wound aimlessly among the dust mounds for a while. It opened out into a clearing right by the south face of the Woodwall.",09_The Carpet People,1,CHAPTER 2,23,[]
"It had dropped from the sky, many years before. It was a day's march long, and a good hour's walk wide. Half of it had been burned-unimaginably burned. Pismire said there had been one or two others, elsewhere in the far reaches of the Carpet, but he used the Dumii word: matchstick.",09_The Carpet People,1,CHAPTER 2,24,['Pismire']
Pismire lived in a shack near the old wood quarry. There were a few pots lying around the door. Some thin half-wild goats skipped out of the way as Roland trotted into the clearing. Pismire was not there. Nor was his little pony.,09_The Carpet People,1,CHAPTER 2,25,"['Pismire', 'Roland', 'Pismire']"
"But a freshly-tanned snarg skin was hanging by the cave. And someone was lying on a heap of ferns by a small fire, with his hat pulled down over his face. It was a high hat that might once have been blue, but time had turned it into a shapeless felt bag about the colour of smoke.",09_The Carpet People,1,CHAPTER 2,26,[]
His clothes looked as though they had gathered themselves round him for warmth. A tattered brown cloak was rolled under his head as a pillow.,09_The Carpet People,1,CHAPTER 2,27,[]
Snibril left Roland in the shade of the hairs and drew his knife. He crept towards the sleeper and made to raise his hat brim with the knifepoint.,09_The Carpet People,1,CHAPTER 2,28,['Roland']
"There was a blur of activity. It ended with Snibril flat on his back, his own knife pressed to his throat, the stranger's tanned face inches from his own.",09_The Carpet People,1,CHAPTER 2,29,[]
"""Well, by comparison to things like that,"" said the stranger, indicating the skin. ""Pismire said one of you might show up.""",09_The Carpet People,1,CHAPTER 2,34,['Pismire']
"He was clean-shaven, unusual in anyone but young Dumii boys, and his red-gold hair was bound up in a plait down his back. Although in some ways he did not appear much older than Snibril himself, his face was hard and lined except for his grin. At his belt hung a fierce-looking short sword, and there was a spear beside his pack.",09_The Carpet People,1,CHAPTER 2,39,['Dumii']
"""I was following mouls,"" he said, and saw the blankness in Snibril's face. ""Creatures. From the Unswept Regions, originally. Nasty pieces of work. They ride around on these things.""",09_The Carpet People,1,CHAPTER 2,40,[]
"Then Pismire was with them, the rangy figure riding into the clearing, long legs almost touching the ground on either side of his pony. The old man showed no surprise that Snibril was there.",09_The Carpet People,1,CHAPTER 2,44,['Pismire']
"""I mean fallen,"" said Pismire. ""Destroyed. The temples, the walls, everything. And snargs everywhere in the ruins. Fray has crushed the town. It was at the epicentre-right underneath,"" he went on wearily. ""It has been a long, horrible day. Where've the tribe gone? Burnt End? Good enough. Very defensible situation. Come on.""",09_The Carpet People,1,CHAPTER 2,46,"['Pismire', 'Fray']"
"""But what is Fray?"" said Snibril. ""I remember you telling stories about old times ... but that was long ago. Some kind of monster. Not something real.""",09_The Carpet People,1,CHAPTER 2,48,['Fray']
"""More like ... ways of telling things without having to do much explaining. Fray is some kind of force. There were people who used to know more, I think. There were old stories about old cities that suddenly vanished. Just legends, now. Oh, dear. So much gets forgotten. Written down and then lost.""",09_The Carpet People,1,CHAPTER 2,53,['Fray']
"The little old tracks that ran everywhere in the Carpet did not go straight, like the road, but wound in and out of the hairs like serpents. Any traveller who walked them, and few did, rarely met anyone else. Yet the paths were never overgrown. The Dumii said that they had been made by Peloon, the god of journeys. The Munrungs privately held that the Carpet itself had made them in some mysterious way, although they didn't say this in front of the Dumii. They didn't have any gods themselves but were generally polite about those belonging to other people.",09_The Carpet People,1,CHAPTER 2,54,['Munrungs']
"Beneath the rugged tip of the Woodwall that was called Burnt End the track divided, going west and north. Glurk stopped his cart and looked up at the burnt, black crags. For a moment he thought he saw a movement high above. He sniffed the air.",09_The Carpet People,1,CHAPTER 2,55,['Glurk']
"He jumped down from the cart and walked back along the track. There it was again, something scrambling away ... no, just a shadow. Glurk sniffed again, then shook himself. This was no way to behave, jumping at shadows. He cupped his hands round his mouth. ""Gather the carts round in a circle,"" he cried. ""We'll camp here.""",09_The Carpet People,1,CHAPTER 2,57,['Glurk']
"If you could put up with the unpleasantness and the ash, Burnt End was a safe place to be. The hairs had broken, when the Woodwall fell on to the Carpet, so there was not much cover for attackers. And the sheer white wood wall on one side reduced the chances of an attack. But the feel of the place was unsettling. Glurk bullied the tribe until the carts formed a wall, ponies and cattle penned inside. He ordered an armed man to sit on top of every cart, and set others to lighting fires and readying the camp for the night.",09_The Carpet People,1,CHAPTER 2,58,['Glurk']
"Keep 'em busy. That was one of the three rules of being chief that old Grimm had passed on to him. Act confidently, never say ""I don't know"", and when all else fails, keep 'em busy. He'd hunted around Burnt End before, and the deathliness around the blackened wood could be unnerving even at the best of times. The only thing to do was work, laugh loudly or sing or march about with spears, before everyone's fears got the better of them.",09_The Carpet People,1,CHAPTER 2,59,['Grimm']
"Soon, cooking fires sprang up within the ring. Glurk climbed on top of his cart, and peered back down the track. Fires got seen by ... things. Yet there was nothing like it to embolden the heart, and a hot meal did wonders for the courage. Were snargs out there? Well, they could deal with snargs. They had always been about, the nasty cowardly things. Snargs had just enough brains to know not to attack a village. They preferred to track the lone traveller, if the odds were high enough. Glurk didn't like the change.",09_The Carpet People,1,CHAPTER 2,60,"['Snargs', 'Glurk']"
"After a while Glurk climbed down and took his hunting knife from under the seat. It was carved out of a snarg's thighbone and as good as a sword if it had to be. He thrust it into his belt, and accepted a bowl of soup from his wife.",09_The Carpet People,1,CHAPTER 2,61,['Glurk']
"Night wore on, and the guards nodded. Outside the bright ring deeper shadows padded among the hairs ... and it seemed as though, around the ring of light, a darker ring had grown.",09_The Carpet People,1,CHAPTER 2,62,[]
"They attacked to the south of the ring. There was a howl. Then a cart rocked. Its guard leapt for his life. It was Gurth, Glurk's eldest son.",09_The Carpet People,1,CHAPTER 2,63,"['Gurth', 'Glurk']"
"""All arm! All arm! Hold the ring!"" cried Glurk, and leapt across the fire with a spear in either hand. One he hurled as he ran, and he heard it hit.",09_The Carpet People,1,CHAPTER 2,64,['Glurk']
"These were not like the snargs he knew, came a cold thought out of his mind. They were daring to attack, and they carried men on their backs, or things like men at least, with green eyes and long teeth. For a moment Glurk hesitated, and an arrow grazed his arm.",09_The Carpet People,1,CHAPTER 2,65,['Glurk']
"Glurk saw another cart go over, and then above him loomed a snarg with a shining collar. There was a roar, and a crash, and ... darkness spread along his arm, and drifted across his mind like nightfall.",09_The Carpet People,1,CHAPTER 2,67,['Glurk']
"He stopped. Bane was drawing his sword. He dismounted quietly, and inched forward. With his free hand he motioned Pismire to go on talking.",09_The Carpet People,1,CHAPTER 2,70,"['Bane', 'Pismire']"
"""And of course Ware is so nice at this time of year,"" said Pismire hurriedly, ""And there are many interesting byways and historic-""",09_The Carpet People,1,CHAPTER 2,71,"['Ware', 'Pismire']"
"Bane took one step forward, then whirled round and brought his sword whistling down into the shadows at his side. There was a grunt, and a body fell silently across the path, a crude black sword dropping from its hands.",09_The Carpet People,1,CHAPTER 2,75,['Bane']
"Snibril gasped, and drew back. It wore armour of black leather, sewn with bone rings. At first sight the figure was manlike but when Snibril went closer he saw the hairy pelt and paws, and the long animal face.",09_The Carpet People,1,CHAPTER 2,76,[]
"Before it had died away Snibril was in Roland's saddle and away, the others in close pursuit. There was shouting up ahead, and black shapes were moving across the light. As they entered the clearing and the broken ring of carts Snibril felt the horse bunch itself together for the leap.",09_The Carpet People,1,CHAPTER 2,82,['Roland']
"He clung on tightly as they cleared a cart's roof with some inches to spare and landed, lightly, inside the ring. His arrival was hardly noticed in the battle that flowed around him.",09_The Carpet People,1,CHAPTER 2,83,[]
"In one place the fallen carts were on fire, and that stopped the creatures. But some had broken through, and each was roaring at the people that slashed at it.",09_The Carpet People,1,CHAPTER 2,84,[]
"Glurk lay still beneath one huge paw of a snarg, the biggest Snibril had ever seen. The great burning eyes moved, and saw Snibril. He wanted to run, but the horse did not budge. The rider on the snarg's back had also seen him. It grinned unpleasantly.",09_The Carpet People,1,CHAPTER 2,85,['Glurk']
"Snibril slipped from the horse's back and picked up Glurk's spear. It was heavy-Glurk went in for spears that other people could barely lift, let alone throw. He held it cautiously, keeping the point aimed directly at the snarg.",09_The Carpet People,1,CHAPTER 2,86,['Glurk']
The snarg and its rider turned to follow him as he moved around. He could see the huge creature tensing itself to spring.,09_The Carpet People,1,CHAPTER 2,87,[]
"And he could see Roland. He'd sidled in a half circle, and now the snarg and its rider were behind the horse. Roland's tail twitched.",09_The Carpet People,1,CHAPTER 2,88,"['Roland', 'Roland']"
"You should never have to chase prey, Pismire had always said. With proper observation and care, you should be waiting for them.",09_The Carpet People,1,CHAPTER 2,92,['Pismire']
"Snibril didn't even think. He left the butt end of the spear wedged in the ground, and held on tightly. The snarg realized that it had done something stupid when it was in mid-air, but by then it was too late, because it was hurling itself not at some weak creature but at a spearhead ...",09_The Carpet People,1,CHAPTER 2,93,[]
